fips,jan_avg_vmt
01001,1632677
01003,6909677
01005,1054806
01007,688548
01009,1654516
01011,295580
01013,1272129
01015,4475483
01017,856516
01019,689645
01021,1553870
01023,493258
01025,791258
01027,346516
01029,596935
01031,1690967
01033,2074516
01035,724032
01037,278354
01039,1376645
01041,483032
01043,2740967
01045,1559838
01047,862967
01049,1744838
01051,2869354
01053,1397193
01055,2955483
01057,490548
01059,1064387
01061,772000
01063,547387
01065,338774
01067,563612
01069,4630967
01071,1547774
01073,25035483
01075,494451
01077,2703225
01079,832483
01081,4801612
01083,2652258
01085,621645
01087,947709
01089,10701935
01091,818645
01093,1375225
01095,2722258
01097,9738709
01099,751451
01101,9366451
01103,3780000
01105,339193
01107,525032
01109,1016161
01111,651290
01113,1364967
01115,2885483
01117,7852258
01119,552322
01121,2829677
01123,1103483
01125,5952580
01127,2260322
01129,460612
01131,323645
01133,675354
04001,2211612
04003,4568064
04005,5257741
04007,5462903
04009,709193
04011,255741
04012,2640645
04013,101522580
04015,8251612
04017,5740967
04019,32141935
04021,10670000
04023,1129354
04025,5304516
04027,5001290
05001,654032
05003,639290
05005,876258
05007,6567096
05009,967774
05011,286354
05013,247903
05015,618000
05017,398612
05019,1016741
05021,441193
05023,737677
05025,269935
05027,621548
05029,756387
05031,3795483
05033,2180967
05035,2393548
05037,486225
05039,221483
05041,505419
05043,526451
05045,3386451
05047,733612
05049,417290
05051,3238064
05053,586870
05055,1126000
05057,819322
05059,1098193
05061,480483
05063,1211064
05065,222129
05067,500935
05069,2600967
05071,661129
05073,223000
05075,498193
05077,273290
05079,257838
05081,452483
05083,524645
05085,2725806
05087,492612
05089,312967
05091,1543741
05093,2030967
05095,427483
05097,211290
05099,721258
05101,202516
05103,675774
05105,258645
05107,440387
05109,370548
05111,657322
05113,438483
05115,1768064
05117,603870
05119,14427419
05121,614451
05123,1548387
05125,3745806
05127,257258
05129,183032
05131,3500645
05133,505322
05135,420935
05137,281516
05139,1391870
05141,464258
05143,5810967
05145,5097096
05147,235870
05149,616000
06001,33941935
06003,83161
06005,1534516
06007,5432580
06009,1287419
06011,1221064
06013,21203225
06015,478161
06017,5167096
06019,17358064
06021,972774
06023,2330967
06025,5268709
06027,945806
06029,24893548
06031,4955806
06033,1538419
06035,919032
06037,215161290
06039,3234193
06041,6700967
06043,1007000
06045,1749354
06047,8356451
06049,300322
06051,715322
06053,12211935
06055,4943225
06057,3310000
06059,71264516
06061,14545161
06063,446129
06065,81600000
06067,32706451
06069,1289967
06071,79629032
06073,78490322
06075,14280645
06077,20170967
06079,11643870
06081,21603225
06083,10282580
06085,46945161
06087,21654838
06089,6771290
06091,113729
06093,1725806
06095,10506129
06097,17561290
06099,15164193
06101,2556129
06103,3107096
06105,406774
06107,11165806
06109,1376129
06111,27664516
06113,6974516
06115,2693548
08001,12471612
08003,499258
08005,10600645
08007,418741
08009,170258
08011,128193
08013,7270000
08014,1375161
08015,436967
08017,111151
08019,636580
08021,146025
08023,91148
08025,81696
08027,85145
08029,546129
08031,21738709
08033,67948
08035,9051290
08037,2383225
08039,652516
08041,16535483
08043,1077645
08045,1709225
08047,387193
08049,1518032
08051,239354
08053,105516
08055,282064
08057,72548
08059,12953225
08061,176993
08063,501161
08065,178322
08067,1742580
08069,10619032
08071,539419
08073,718290
08075,626612
08077,4688387
08079,89432
08081,303387
08083,744290
08085,671354
08087,1038483
08089,429838
08091,159096
08093,536387
08095,134022
08097,456645
08099,562161
08101,3811935
08103,181903
08105,362870
08107,525677
08109,202161
08111,104964
08113,339580
08115,119722
08117,2036129
08119,681129
08121,114574
08123,8967741
08125,242612
09001,24725806
09003,24400000
09005,4567741
09007,5164838
09009,24548387
09011,8055161
09013,3375483
09015,3071290
10001,5107419
10003,14948709
10005,7402903
11001,18909677
12001,8472580
12003,793290
12005,6327096
12007,764225
12009,18835483
12011,46329032
12013,349548
12015,5319354
12017,4117741
12019,5205161
12021,9088709
12023,2655806
12027,807161
12029,377838
12031,33367741
12033,9430967
12035,3107096
12037,333774
12039,1846129
12041,414258
12043,399064
12045,463903
12047,1180129
12049,668580
12051,1154354
12053,4978709
12055,2311935
12057,57135483
12059,614612
12061,4361935
12063,1667741
12065,519612
12067,239935
12069,11360322
12071,19364516
12073,7657419
12075,1182193
12077,210516
12079,793774
12081,10440967
12083,12398387
12085,4397419
12086,56425806
12087,2674193
12089,2933870
12091,5221612
12093,1490000
12095,58187096
12097,11435483
12099,33758064
12101,14422903
12103,27767741
12105,22287096
12107,1710000
12109,9161612
12111,9450645
12113,4060322
12115,10980000
12117,13638387
12119,3847096
12121,1593548
12123,712032
12125,331870
12127,15612903
12129,780806
12131,3966451
12133,845967
13001,544838
13003,239774
13005,315645
13007,96038
13009,1217838
13011,765838
13013,2159354
13015,3785483
13017,528096
13019,560451
13021,6524193
13023,412516
13025,421774
13027,388322
13029,1562903
13031,1933225
13033,927387
13035,1312258
13037,165806
13039,2182580
13043,434096
13045,3359032
13047,2091935
13049,361032
13051,10289677
13053,470096
13055,544677
13057,7299032
13059,3251290
13061,81745
13063,9681290
13065,259225
13067,19748387
13069,1062322
13071,1122225
13073,3407419
13075,866709
13077,4809677
13079,350612
13081,1174967
13083,800806
13085,884225
13087,864096
13089,18264516
13091,574354
13093,828838
13095,3692258
13097,4223548
13099,459354
13101,126732
13103,1736451
13105,590032
13107,611935
13109,267645
13111,706677
13113,3053870
13115,2611290
13117,6196129
13119,1068967
13121,38003225
13123,881451
13125,111196
13127,3340967
13129,1819032
13131,658129
13133,800419
13135,25522580
13137,1207161
13139,5592580
13141,204193
13143,1149612
13145,921612
13147,639612
13149,297483
13151,8563548
13153,4206129
13155,224967
13157,2604516
13159,638645
13161,487451
13163,422483
13165,220032
13167,242870
13169,735419
13171,600451
13173,251709
13175,1948709
13177,934096
13179,1856774
13181,223903
13183,312129
13185,6438387
13187,926645
13189,751580
13191,500193
13193,376967
13195,632677
13197,241258
13199,577516
13201,238064
13205,624548
13207,1237161
13209,225000
13211,932516
13213,773516
13215,6633225
13217,2759032
13219,1447387
13221,325032
13223,4566774
13225,989354
13227,992903
13229,522903
13231,526548
13233,1038451
13235,273741
13237,649838
13239,60645
13241,646903
13243,242419
13245,6136129
13247,3040000
13249,172677
13251,358225
13253,346193
13255,1820000
13257,602580
13259,166483
13261,787290
13263,177225
13265,84219
13267,597645
13269,314000
13271,323516
13273,280419
13275,1187806
13277,2134193
13279,889677
13281,265774
13283,199354
13285,2300000
13287,506870
13289,269451
13291,716838
13293,653870
13295,1360064
13297,2489032
13299,1510161
13301,161190
13303,598000
13305,862580
13307,105864
13309,134832
13311,928903
13313,3357419
13315,216322
13317,331903
13319,320290
13321,518935
16001,10627096
16003,94061
16005,2091612
16007,165419
16009,137687
16011,1265806
16013,504032
16015,202345
16017,881935
16019,5131612
16021,186548
16023,204461
16025,36532
16027,4769032
16029,218045
16031,731258
16033,127416
16035,103483
16037,77054
16039,922838
16041,295935
16043,520612
16045,416935
16047,477419
16049,439032
16051,723096
16053,938516
16055,4764193
16057,635129
16059,63606
16061,96283
16063,144974
16065,746354
16067,820258
16069,998322
16071,229741
16073,729838
16075,490322
16077,291709
16079,505225
16081,210787
16083,2370967
16085,267290
16087,299129
17001,1622870
17003,139067
17005,727258
17007,1932580
17009,175129
17011,1126838
17013,128800
17015,431129
17017,408838
17019,5525161
17021,951677
17023,855677
17025,336774
17027,1150580
17029,1396387
17031,123612903
17033,451548
17035,467516
17037,3177419
17039,602322
17041,725935
17043,27341935
17045,443774
17047,193322
17049,2331612
17051,903064
17053,512870
17055,1114483
17057,777064
17059,169258
17061,289580
17063,2023225
17065,246064
17067,463096
17069,108606
17071,169590
17073,1319677
17075,1135483
17077,1382870
17079,225967
17081,2201612
17083,523870
17085,660290
17087,389548
17089,12097096
17091,3285806
17093,3610322
17095,1768935
17097,17066451
17099,3541935
17101,336645
17103,1413516
17105,1225483
17107,970741
17109,693129
17111,9025483
17113,5294516
17115,3415161
17117,1169225
17119,8737741
17121,1104258
17123,363838
17125,385741
17127,454258
17129,263838
17131,365387
17133,1030419
17135,989580
17137,949580
17139,333838
17141,1900645
17143,4228064
17145,525516
17147,493870
17149,475387
17151,95477
17153,175325
17155,213290
17157,926161
17159,461548
17161,3277096
17163,7182258
17165,750548
17167,6013870
17169,191677
17171,120709
17173,577290
17175,154735
17177,1205741
17179,4241290
17181,566290
17183,2054193
17185,361967
17187,803903
17189,656387
17191,444580
17193,531322
17195,1594967
17197,22532258
17199,2017096
17201,7960000
17203,1246419
18001,847709
18003,10090000
18005,2992258
18007,247258
18009,272741
18011,2699032
18013,434290
18015,534967
18017,960903
18019,3749677
18021,1010580
18023,955483
18025,408032
18027,839612
18029,1845806
18031,1041806
18033,1171387
18035,3023548
18037,1193096
18039,6330000
18041,459032
18043,2081290
18045,384741
18047,615967
18049,563032
18051,1477516
18053,1984193
18055,763064
18057,8283870
18059,2599677
18061,993645
18063,5390000
18065,1554193
18067,2740000
18069,1009677
18071,1358258
18073,1710967
18075,465000
18077,757709
18079,571032
18081,5215483
18083,1126774
18085,2042258
18087,1259096
18089,13573225
18091,3423548
18093,1097129
18095,3645483
18097,31667741
18099,1502000
18101,388516
18103,1161612
18105,3104193
18107,1038677
18109,1793548
18111,520935
18113,1205548
18115,114287
18117,536290
18119,413612
18121,362870
18123,465193
18125,324967
18127,5194193
18129,1088903
18131,345032
18133,962000
18135,599935
18137,826806
18139,398419
18141,7790967
18143,713935
18145,1561612
18147,691774
18149,546935
18151,1236225
18153,554709
18155,243419
18157,5639354
18159,547741
18161,170967
18163,5927741
18165,532322
18167,2981612
18169,838709
18171,231290
18173,1960000
18175,633258
18177,2270000
18179,695193
18181,806290
18183,857419
19001,447580
19003,107283
19005,390000
19007,318774
19009,156170
19011,613225
19013,3902258
19015,606741
19017,611967
19019,658838
19021,689548
19023,374548
19025,329861
19027,661322
19029,462870
19031,716064
19033,1442645
19035,440903
19037,371322
19039,426064
19041,524903
19043,416903
19045,1230548
19047,452677
19049,2642903
19051,200509
19053,270741
19055,529419
19057,962064
19059,599548
19061,2449032
19063,237683
19065,582451
19067,500354
19069,391687
19071,518645
19073,264354
19075,394967
19077,396612
19079,686806
19081,331219
19083,549709
19085,601290
19087,648193
19089,260300
19091,201883
19093,281948
19095,650161
19097,510032
19099,1219129
19101,437258
19103,3715161
19105,469258
19107,282322
19109,512245
19111,943645
19113,5716774
19115,302354
19117,287161
19119,319006
19121,415354
19123,557451
19125,940193
19127,1017000
19129,326645
19131,299596
19133,366322
19135,213738
19137,252870
19139,1091451
19141,446838
19143,136712
19145,314032
19147,348212
19149,767000
19151,189861
19153,16387096
19155,3495806
19157,796387
19159,135377
19161,350967
19163,4787419
19165,302354
19167,1100709
19169,2467419
19171,512354
19173,159319
19175,311774
19177,190696
19179,1004483
19181,1257580
19183,611096
19185,139541
19187,901193
19189,325900
19191,489967
19193,2705161
19195,298064
19197,313970
20001,418935
20003,215012
20005,450129
20007,179093
20009,736806
20011,446258
20013,360870
20015,1767096
20017,279032
20019,83554
20021,469741
20023,105948
20025,91490
20027,223516
20029,351032
20031,399548
20033,52564
20035,844967
20037,993483
20039,114648
20041,629225
20043,218741
20045,2536774
20047,129603
20049,79364
20051,1291193
20053,299000
20055,998096
20057,889677
20059,853193
20061,915580
20063,398806
20065,99864
20067,249677
20069,243806
20071,56645
20073,203451
20075,91003
20077,168209
20079,1039161
20081,208387
20083,52677
20085,343354
20087,440032
20089,76783
20091,16042580
20093,119658
20095,303548
20097,129541
20099,509935
20101,51951
20103,2056709
20105,90480
20107,342387
20109,123090
20111,1450516
20113,1048903
20115,361387
20117,253806
20119,173580
20121,1085580
20123,210967
20125,889580
20127,126906
20129,118183
20131,257709
20133,481000
20135,90251
20137,173848
20139,373258
20141,98335
20143,174680
20145,165193
20147,200806
20149,719419
20151,446032
20153,75677
20155,1833870
20157,209290
20159,308032
20161,1301774
20163,153167
20165,89148
20167,392161
20169,1859677
20171,212096
20173,12470967
20175,717645
20177,4915483
20179,112716
20181,372322
20183,97406
20185,139167
20187,71525
20189,216741
20191,910161
20193,678387
20195,294290
20197,262806
20199,73509
20201,177758
20203,72267
20205,251806
20207,88912
20209,5319354
21001,410516
21003,431387
21005,446903
21007,230096
21009,1024129
21011,250000
21013,585129
21015,5457419
21017,501225
21019,1405612
21021,932483
21023,194645
21025,179129
21027,426322
21029,2530645
21031,284903
21033,501032
21035,894354
21037,2151612
21039,195193
21041,722064
21043,640129
21045,241870
21047,2261935
21049,1013806
21051,608774
21053,157806
21055,267516
21057,119719
21059,3466774
21061,356677
21063,111774
21065,242129
21067,8802258
21069,326451
21071,1380935
21073,1500774
21075,239838
21077,543838
21079,334774
21081,897387
21083,1095741
21085,693645
21087,182290
21089,800258
21091,268870
21093,3827419
21095,362645
21097,417129
21099,782193
21101,1319677
21103,637903
21105,141729
21107,1386580
21109,230129
21111,22100000
21113,1159387
21115,446387
21117,3309677
21119,255870
21121,715838
21123,292419
21125,2147741
21127,370935
21129,145796
21131,188709
21133,405354
21135,277419
21137,510129
21139,289064
21141,712580
