fips,fips_state,fips_county,state,county,date,county_vmt,jan_avg_vmt
01001,01,001,Alabama,Autauga,2020-04-16,1570000,1632677
01003,01,003,Alabama,Baldwin,2020-04-16,6000000,6909677
01005,01,005,Alabama,Barbour,2020-04-16,1140000,1054806
01007,01,007,Alabama,Bibb,2020-04-16,776000,688548
01009,01,009,Alabama,Blount,2020-04-16,1670000,1654516
01011,01,011,Alabama,Bullock,2020-04-16,283000,295580
01013,01,013,Alabama,Butler,2020-04-16,1000000,1272129
01015,01,015,Alabama,Calhoun,2020-04-16,3590000,4475483
01017,01,017,Alabama,Chambers,2020-04-16,911000,856516
01019,01,019,Alabama,Cherokee,2020-04-16,738000,689645
01021,01,021,Alabama,Chilton,2020-04-16,1500000,1553870
01023,01,023,Alabama,Choctaw,2020-04-16,594000,493258
01025,01,025,Alabama,Clarke,2020-04-16,911000,791258
01027,01,027,Alabama,Clay,2020-04-16,448000,346516
01029,01,029,Alabama,Cleburne,2020-04-16,582000,596935
01031,01,031,Alabama,Coffee,2020-04-16,1860000,1690967
01033,01,033,Alabama,Colbert,2020-04-16,2300000,2074516
01035,01,035,Alabama,Conecuh,2020-04-16,598000,724032
01037,01,037,Alabama,Coosa,2020-04-16,347000,278354
01039,01,039,Alabama,Covington,2020-04-16,1270000,1376645
01041,01,041,Alabama,Crenshaw,2020-04-16,493000,483032
01043,01,043,Alabama,Cullman,2020-04-16,2560000,2740967
01045,01,045,Alabama,Dale,2020-04-16,1360000,1559838
01047,01,047,Alabama,Dallas,2020-04-16,1020000,862967
01049,01,049,Alabama,DeKalb,2020-04-16,1760000,1744838
01051,01,051,Alabama,Elmore,2020-04-16,2700000,2869354
01053,01,053,Alabama,Escambia,2020-04-16,1010000,1397193
01055,01,055,Alabama,Etowah,2020-04-16,2900000,2955483
01057,01,057,Alabama,Fayette,2020-04-16,587000,490548
01059,01,059,Alabama,Franklin,2020-04-16,1120000,1064387
01061,01,061,Alabama,Geneva,2020-04-16,782000,772000
01063,01,063,Alabama,Greene,2020-04-16,516000,547387
01065,01,065,Alabama,Hale,2020-04-16,436000,338774
01067,01,067,Alabama,Henry,2020-04-16,684000,563612
01069,01,069,Alabama,Houston,2020-04-16,3920000,4630967
01071,01,071,Alabama,Jackson,2020-04-16,1700000,1547774
01073,01,073,Alabama,Jefferson,2020-04-16,23800000,25035483
01075,01,075,Alabama,Lamar,2020-04-16,615000,494451
